date,setup,side,entry_px,stop,tp1,tp2,sl_dist,pm_final,regime,voice_agree,exit_px,exit_reason,pnl_r,pnl_dollars,mfe_r,mae_r
2022-01-27,ORB,long,14367.25,14228.80,14384.46,14425.11,138.45,36.4,RISK-ON,8,14367.25,tp1_then_be,0.500,138.45,0.20,-0.16
2022-01-28,ORB,long,14234.25,13884.87,14155.76,14226.69,349.38,34.3,RISK-ON,7,14234.25,tp1_then_be,0.500,349.38,0.00,-0.08
2022-02-07,ORB,long,14804.00,14667.24,14809.38,14846.74,136.76,39.2,RISK-ON,8,14667.24,stop,-1.000,-273.51,0.02,-1.02
2022-02-11,ORB,short,14623.50,14776.09,14625.31,14585.95,152.59,32.2,NEUTRAL,8,14623.50,tp1_then_be,0.500,152.59,0.20,-0.05
2022-02-23,ORB,short,13844.75,14034.87,13923.99,13895.36,190.12,39.2,RISK-ON,7,13844.75,tp1_then_be,0.500,190.12,0.00,-0.17
2022-02-28,ORB,long,14219.50,14022.84,14135.89,14164.70,196.66,38.0,RISK-ON,8,14164.70,tp2_partial,0.361,141.85,0.05,-0.05
2022-03-01,ORB,short,14085.00,14259.65,14126.50,14092.16,174.65,45.2,RISK-ON,10,14085.00,tp1_then_be,0.500,174.65,0.10,-0.02
2022-03-08,ORB,long,13535.50,13206.89,13413.14,13466.42,328.61,44.2,RISK-ON,8,13535.50,tp1_then_be,0.500,328.61,0.05,-0.14
2022-03-11,ORB,short,13597.25,13735.51,13573.48,13530.83,138.26,34.2,RISK-ON,7,13597.25,tp1_then_be,0.500,138.26,0.18,0.00
2022-11-29,ORB,short,11509.75,11857.33,11509.37,11420.79,347.58,34.5,RISK-ON,7,11509.75,tp1_then_be,0.500,347.58,0.03,-0.36
2022-12-08,ORB,long,11762.75,11475.83,11736.34,11800.70,286.92,30.8,NEUTRAL,7,11762.75,tp1_then_be,0.500,286.92,0.00,-0.48
2022-12-15,ORB,short,11495.00,11857.13,11430.39,11320.53,362.13,31.8,RISK-ON,7,11495.00,tp1_then_be,0.500,362.13,0.21,-0.53
2022-12-21,ORB,long,11389.25,11182.51,11391.52,11444.98,206.74,33.2,NEUTRAL,8,11389.25,tp1_then_be,0.500,206.74,0.08,-0.81
2023-01-23,ORB,long,11904.75,11669.19,11913.14,11974.39,235.56,37.5,RISK-ON,8,11974.39,tp2_partial,0.648,305.19,1.02,0.00
2023-01-27,ORB,long,12346.75,12017.12,12281.20,12346.34,329.63,31.5,RISK-ON,6,12346.75,tp1_then_be,0.500,329.63,0.00,-0.44
2023-02-01,ORB,long,12290.75,12085.05,12321.87,12381.82,205.70,40.2,RISK-ON,8,12085.05,stop,-1.000,-411.41,0.07,-1.05
2023-03-01,ORB,short,11944.75,12334.47,11921.04,11815.51,389.72,34.4,RISK-ON,7,12018.00,timeout,0.000,0.00,0.05,-0.82
2023-03-03,ORB,long,12431.00,12074.54,12323.42,12381.21,356.46,30.6,NEUTRAL,7,12431.00,tp1_then_be,0.500,356.46,0.00,-0.75
2023-03-09,ORB,long,12472.50,12211.22,12482.47,12548.91,261.28,35.7,RISK-ON,7,12472.50,tp1_then_be,0.500,261.28,0.52,-0.72
2023-11-14,ORB,long,16258.75,15761.50,16106.17,16189.38,497.25,44.4,RISK-ON,8,16258.75,tp1_then_be,0.500,497.25,0.02,-0.83
2023-11-15,ORB,short,15919.00,16410.15,15818.88,15672.43,491.15,34.5,RISK-ON,6,16345.00,timeout,0.000,0.00,0.02,-0.90
2023-11-17,ORB,long,16283.00,15794.64,16393.09,16545.85,488.36,35.2,RISK-ON,7,15854.25,timeout,0.000,0.00,0.00,-0.94
2023-11-22,ORB,short,16059.00,16586.54,15939.08,15773.17,527.54,46.0,RISK-ON,7,16063.00,timeout,0.000,0.00,0.10,-0.84
2023-11-28,ORB,short,15960.00,16235.64,15920.37,15842.60,275.64,32.0,RISK-ON,6,16235.64,stop,-1.000,-551.27,0.00,-1.03
2023-11-29,ORB,long,16528.25,16120.77,16472.07,16557.71,407.48,39.6,RISK-ON,8,16120.77,stop,-1.000,-814.97,0.00,-1.02
2023-12-07,ORB,short,15911.00,16416.25,15821.73,15670.96,505.25,33.0,RISK-ON,6,16416.25,stop,-1.000,-1010.49,0.01,-1.00
2024-01-02,ORB,short,16737.25,17100.66,16685.99,16581.67,363.41,50.5,RISK-ON,8,16766.75,timeout,0.000,0.00,0.13,-0.94
2024-01-03,ORB,short,16548.00,16980.06,16500.62,16377.71,432.06,34.2,RISK-ON,7,16551.75,timeout,0.000,0.00,0.00,-0.93
2024-01-17,ORB,long,17128.25,16704.32,17136.59,17244.20,423.93,45.6,RISK-ON,8,16704.32,stop,-1.000,-847.87,0.00,-1.00
2024-02-13,ORB,short,17581.25,18108.31,17502.01,17347.78,527.06,43.8,RISK-ON,8,17579.00,session_end,0.000,0.00,0.02,-0.45
2024-02-20,ORB,short,17562.50,17981.64,17465.21,17334.76,419.14,40.5,RISK-ON,8,17981.64,stop,-1.000,-838.27,0.00,-1.08
2024-03-06,ORB,short,18045.75,18622.01,17935.46,17761.76,576.26,39.6,RISK-ON,7,18272.25,session_end,0.000,0.00,0.08,-0.85
2024-11-07,ORB,long,21425.00,20987.47,21413.50,21519.73,437.53,35.7,RISK-ON,7,21425.00,tp1_then_be,0.500,437.53,0.03,-0.55
2024-11-11,ORB,short,21131.00,21562.57,21118.46,21006.79,431.57,38.2,RISK-ON,9,21131.00,tp1_then_be,0.500,431.57,0.03,-0.57
2024-11-12,ORB,short,21066.00,21529.54,21097.77,20990.94,463.54,37.8,RISK-ON,9,21066.00,tp1_then_be,0.500,463.54,0.00,-0.60
2024-11-15,ORB,short,20643.50,21241.86,20547.46,20369.97,598.36,41.7,RISK-ON,8,20643.50,tp1_then_be,0.500,598.36,0.17,-0.45
2024-11-21,ORB,long,21197.25,20579.26,21301.55,21484.15,617.99,30.6,RISK-ON,7,20579.26,stop,-1.000,-1235.98,0.00,-1.00
2024-12-04,ORB,long,21980.00,21347.20,22037.02,22211.32,632.80,35.6,RISK-ON,7,21980.00,tp1_then_be,0.500,632.80,0.33,-0.85
2024-12-06,ORB,long,21861.50,21438.36,21913.98,22030.67,423.14,44.5,RISK-ON,7,22030.67,tp2_partial,0.700,592.31,0.60,-0.64
2025-01-06,ORB,long,22070.00,21697.49,22126.18,22233.27,372.51,35.4,RISK-ON,7,22070.00,tp1_then_be,0.500,372.51,0.16,-0.75
2025-01-30,ORB,long,21945.00,21558.47,21982.35,22087.10,386.53,38.4,RISK-ON,7,21558.47,stop,-1.000,-773.06,0.05,-1.00
2025-02-06,ORB,long,22027.75,21709.96,22079.26,22171.81,317.79,43.9,RISK-ON,8,22027.75,tp1_then_be,0.500,317.79,0.78,-0.70
2025-02-20,ORB,short,22139.25,22681.61,22044.07,21881.97,542.36,39.0,RISK-ON,7,22139.25,tp1_then_be,0.500,542.36,0.26,-0.74
2025-02-24,ORB,short,21612.25,22189.31,21558.52,21397.63,577.06,33.4,RISK-ON,8,21612.25,tp1_then_be,0.500,577.06,0.21,-0.35
2025-11-05,ORB,long,25870.25,25429.53,25928.18,26047.98,440.72,39.5,NEUTRAL,6,25870.25,tp1_then_be,0.500,440.72,0.15,-0.56
2025-11-07,ORB,short,24770.25,25576.22,24750.22,24537.43,805.97,30.1,RISK-ON,7,24770.25,tp1_then_be,0.500,805.97,0.06,-0.29
2025-11-17,ORB,long,25482.00,24920.30,25593.34,25764.87,561.70,34.5,RISK-ON,7,25482.00,tp1_then_be,0.500,561.70,0.30,-0.93
2025-12-05,ORB,long,26240.75,25606.84,26392.54,26591.66,633.91,31.6,RISK-ON,7,25670.00,timeout,0.000,0.00,0.00,-0.91
2025-12-31,ORB,short,25537.00,25925.89,25529.46,25428.60,388.89,35.6,RISK-ON,7,25925.89,stop,-1.000,-777.78,0.01,-1.15
2026-01-21,ORB,long,25900.00,25081.20,25814.86,26001.35,818.80,44.8,RISK-ON,8,25900.00,tp1_then_be,0.500,818.80,0.09,-0.52
2026-01-27,ORB,long,26439.00,25891.14,26566.41,26739.93,547.86,31.8,RISK-ON,7,26439.00,tp1_then_be,0.500,547.86,0.24,-0.82
2026-01-28,ORB,short,26152.25,26713.39,26088.68,25926.41,561.14,36.5,NEUTRAL,9,26160.75,session_end,0.000,0.00,0.07,-0.46
2026-02-02,ORB,long,25964.50,25506.36,26074.17,26219.41,458.14,37.8,RISK-ON,8,25964.50,tp1_then_be,0.500,458.14,0.31,-0.55
2026-02-11,ORB,short,25284.00,25734.15,25253.07,25134.22,450.15,34.7,RISK-ON,7,25284.00,tp1_then_be,0.500,450.15,0.29,-0.95
2026-02-12,ORB,short,25251.00,25640.55,25223.17,25120.67,389.55,35.4,RISK-ON,6,25640.55,stop,-1.000,-779.10,0.00,-1.13
2026-02-17,ORB,short,24544.00,25295.24,24430.51,24207.60,751.24,30.1,RISK-ON,6,24737.25,timeout,0.000,0.00,0.12,-0.91
2026-02-18,ORB,long,25106.00,24727.65,25177.17,25291.87,378.35,31.9,RISK-ON,7,25291.87,tp2_partial,0.746,564.22,0.78,-0.55
2026-02-19,ORB,long,25300.00,24725.07,25160.64,25268.93,574.93,37.9,RISK-ON,8,25300.00,tp1_then_be,0.500,574.93,0.12,-0.76
2026-02-20,ORB,long,25425.00,24688.51,25452.25,25645.93,736.49,44.1,RISK-ON,8,25425.00,tp1_then_be,0.500,736.49,0.16,-0.76
2026-02-25,ORB,long,25763.00,25147.81,25833.55,26003.44,615.19,38.8,RISK-ON,7,25314.25,timeout,0.000,0.00,0.03,-0.80
2026-02-26,ORB,short,25216.00,25599.51,25134.11,25018.80,383.51,38.8,RISK-ON,7,25599.51,stop,-1.000,-767.02,0.00,-1.09
